,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal,0
K-NN,0.1,0.06,0.2,0.24,0.16,0.92,0.4,0.06,0,0.79,2.93
K-NN/K-NN,0.09,0.06,0.16,0.24,0.18,0.94,0.71,0.19,0,0.79,3.36
K-NN/MLP,,,,,,,,,,,0
K-NN/SVM,,,,,,,,,,,0
MLP,,,,,,,,,,,0
MLP/K-NN,,,,,,,,,,,0
MLP/MLP,,,,,,,,,,,0
MLP/SVM,,,,,,,,,,,0
SVM,,,,,,,,,,,0
SVM/K-NN,,,,,,,,,,,0
SVM/MLP,,,,,,,,,,,0
SVM/SVM,,,,,,,,,,,0
,,,,,,,,,,,0
,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal,0
K-NN,0.33,0.06,0.25,0.32,0.2,0.96,0.4,0.07,0,0.61,3.2
K-NN/K-NN,0.3,0.08,0.23,0.38,0.18,0.96,0.37,0.03,0,0.61,3.14
K-NN/MLP,,,,,,,,,,,0
K-NN/SVM,,,,,,,,,,,0
MLP,,,,,,,,,,,0
MLP/K-NN,,,,,,,,,,,0
MLP/MLP,,,,,,,,,,,0
MLP/SVM,,,,,,,,,,,0
SVM,,,,,,,,,,,0
SVM/K-NN,,,,,,,,,,,0
SVM/MLP,,,,,,,,,,,0
SVM/SVM,,,,,,,,,,,0
,,,,,,,,,,,0
,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal,0
K-NN,0.16,0.06,0.22,0.28,0.18,0.94,0.4,0.07,0,0.69,3
K-NN/K-NN,0.14,0.07,0.19,0.3,0.18,0.95,0.48,0.06,0,0.69,3.06
K-NN/MLP,,,,,,,,,,,
K-NN/SVM,,,,,,,,,,,
MLP,,,,,,,,,,,
MLP/K-NN,,,,,,,,,,,
MLP/MLP,,,,,,,,,,,
MLP/SVM,,,,,,,,,,,
SVM,,,,,,,,,,,
SVM/K-NN,,,,,,,,,,,
SVM/MLP,,,,,,,,,,,
SVM/SVM,,,,,,,,,,,
