Class,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Normal
K-NN,0.1,0.08,0.22,0.23,0.19,0.95,0.7,0.18,0,0.73
K-NN/K-NN,0.1,0.06,0.19,0.24,0.19,0.95,0.62,0.14,0,0.73
K-NN/MLP,0.01,0.13,0.34,0.4,0.25,0.99,0.6,0.16,0.27,0.73
K-NN/SVM,0.01,0,0.17,0.39,0.24,0.99,0.64,0.31,0,0.73
MLP,0.13,0.13,0.38,0.62,0.57,0.98,0.71,0.3,0.49,0.93
MLP/K-NN,0.1,0.06,0.21,0.46,0.25,0.95,0.63,0.16,0,0.94
MLP/MLP,0.11,0.13,0.38,0.61,0.52,0.98,0.68,0.32,0.53,0.94
MLP/SVM,0.06,0,0.23,0.58,0.59,0.98,0.68,0.44,1,0.93
SVM,0.06,0,0.23,0.59,0.6,0.99,0.69,0.44,0.1,0.9
SVM/K-NN,0.1,0.06,0.21,0.45,0.22,0.95,0.63,0.15,0,0.92
SVM/MLP,0.11,0.14,0.38,0.61,0.47,0.98,0.65,0.28,0.53,0.92
SVM/SVM,0.06,0,0.23,0.57,0.53,0.98,0.66,0.39,1,0.92
